warmup_pairs,total_requests,l1_hits,l1_misses,hr_l1_pct,l2_hits,l2_misses,hr_l2_pct,prediction_valid,friendly,averse,friendly_pct,averse_pct,cost_model_cycles,status
1000,2029,0,2029,0.0,1000,1029,49.29,2029,2029,0,100.0,0.0,112900,FALHOU (4 erros)
3000,6029,0,6029,0.0,3000,3029,49.76,6029,5078,951,84.23,15.77,332900,FALHOU (1 erros)
5000,10029,0,10029,0.0,5000,5029,49.86,10029,7078,2951,70.58,29.42,552900,OK
10000,20029,0,20029,0.0,10000,10029,49.93,20029,12093,7936,60.38,39.62,1102900,OK
30000,60029,0,60029,0.0,30000,30029,49.98,60029,32461,27568,54.08,45.92,3302900,OK
50000,100029,0,100029,0.0,50000,50029,49.99,100029,53147,46882,53.13,46.87,5502900,OK
100000,200029,0,200029,0.0,100000,100029,49.99,200029,105862,94167,52.92,47.08,11002900,OK
300000,600029,0,600029,0.0,300000,300029,50.0,600029,320544,279485,53.42,46.58,33002900,OK
500000,1000029,0,1000029,0.0,500000,500029,50.0,1000029,559724,440305,55.97,44.03,55002900,OK
